Ref.;TYPE;Model;Kv_rpm_v;Pole (number);Io (A);r_omn;weight_g;Imax (A);No s;Voltage;Inom_max (A);Eta_max (%);Kt_Nm_A;Tnom_Nm;Rend nom;Icc;I opt;Eta opt;Cf_Nm;Tmax_Nm;Estim -->;M*;R*;Cf*;Dominated
2;AXI;AXI 2203/40VPP GOLD LINE;2000;14;0.5;0.245;17.5;9;2;7.4;7.5;75;0.00477;0.033;70;30.2;3.89;75.92;0.00239;0.042971835;;18.8355;0.2374;0.001876863;0
48;SCORPION;Scorpion S-1804-1650KV;1650;12;0.25;0.4;12;5;9;33.3;;;0.005787452;0.027;89.29429429;83.25;4.562071898;89.34036781;0.001446863;0.028937262;;12.43180064;0.202803226;0.001498926;0
49;SCORPION;Scorpion S-1805-2250KV;2250;12;0.25;0.4;16;7;9;33.3;;;0.004244132;0.029;88.32046332;83.25;4.562071898;89.34036781;0.001061033;0.029708923;;22.5534118;0.105390712;0.002719308;0
55;SCORPION;?Scorpion SII-2212-885KV (V2);885;14;0.41;0.151;58;13;12;44.4;;;0.010790166;0.136;92.56441961;294.0397351;10.9798129;92.67118582;0.004423968;0.140272153;;43.71995526;0.136979205;0.005271399;0
57;SCORPION;?Scorpion SII-2212-1070KV (V2);1070;14;0.59;0.091;58;15;12;44.4;;;0.008924576;0.129;93.11326577;487.9120879;16.9666771;93.16611434;0.0052655;0.133868644;;38.40283878;0.045784058;0.004630304;0
59;SCORPION;?Scorpion SII-2212-1400kv (V2);1400;14;0.73;0.091;58;25;12;44.4;;;0.006820926;0.166;92.10574324;487.9120879;18.87262102;92.41354273;0.004979276;0.170523153;;55.53890903;0.10459623;0.006696433;0
79;SCORPION;?Scorpion SII-4020-420KV;420;14;0.91;0.032;288;70;12;44.4;;;0.02273642;1.571;93.72054054;1387.5;35.53343496;94.94364901;0.020690143;1.591549431;;365.8943962;0.012549204;0.044116592;0
80;SCORPION;?Scorpion SII-4020-540KV;540;14;1.22;0.02;288;85;12;44.4;;;0.017683883;1.482;94.79083201;2220;52.0422905;95.36646032;0.021574337;1.503130018;;352.1069397;0.009829344;0.042454212;0
81;SCORPION;?Scorpion SII-4020-630KV;630;14;1.54;0.015;288;95;12;44.4;;;0.015157614;1.417;95.22151494;2960;67.51592405;95.49014027;0.023342725;1.439973295;;503.2450794;0.019754658;0.060677229;0
82;SCORPION;?Scorpion SII-4025-330KV;330;14;0.74;0.037;353;75;12;44.4;;;0.028937262;2.149;92.825;1200;29.79932885;95.09511186;0.021413574;2.170294679;;436.6402596;0.014078346;0.052646557;0
90;SCORPION;?Scorpion SII-5525-170KV;170;14;0.78;0.042;708;70;12;44.4;;;0.056172333;3.888;92.33787645;1057.142857;28.71535179;94.64114966;0.04381442;3.9320633;;864.9145435;0.019781962;0.104284413;0
91;SCORPION;?Scorpion SII-5525-195KV;210;14;1.11;0.026;708;90;12;44.4;;;0.045472841;4.042;93.5613964;1707.692308;43.537782;94.96598049;0.050474853;4.09255568;;834.0983222;0.02437242;0.100568842;0
92;SCORPION;?Scorpion SII-5525-210KV;195;14;0.88;0.034;708;80;12;44.4;;;0.048970752;3.875;92.84126126;1305.882353;33.89950546;94.87557124;0.043094262;3.917660138;;1091.94605;0.023107592;0.131658039;0
93;SCORPION;?Scorpion SII-5535-160KV;160;14;1.11;0.027;906;90;12;44.4;;;0.059683104;5.305;93.36119369;1644.444444;42.72391992;94.87134758;0.066248245;5.371479329;;986.4724468;0.019409506;0.118940883;0
94;SCORPION;?Scorpion SII-5535-190KV;190;14;1.24;0.022;906;95;12;44.4;;;0.050259456;4.712;94.04897108;2018.181818;50.02544807;95.10396461;0.062321725;4.774648293;;1173.241406;0.01619842;0.141459977;0
95;SCORPION;Scorpion SII-6530-180KV;180;14;1.26;0.022;1043;110;12;44.4;;;0.053051648;5.769;93.46652744;2018.181818;50.42726535;95.06513587;0.066845076;5.835681247;;1209.033697;0.022186226;0.145775522;0
96;SCORPION;Scorpion SII-6530-150KV;150;14;1.15;0.032;1043;95;12;44.4;;;0.063661977;5.975;92.02550972;1387.5;39.94527506;94.3250054;0.073211274;6.047887837;;1209.03;0.02;0.15;0
97;KDEDirect;KDE1806XF-2350;2350;12;0.4;0.117;18;18;2;7.4;;;0.00406353;0.073143548;69.95075075;63.24786325;5.029825573;;0.001625412;0.073143548;;;;;0
98;KDEDirect;KDE2304XF-2350;2350;12;0.7;0.091;24;20;2;7.4;;;0.00406353;0.081270609;72.76621622;81.31868132;7.54473836;;0.002844471;0.081270609;;;;;0
99;KDEDirect;KDE2306XF-2050;2050;12;0.6;0.068;29;24;2;7.4;;;0.004658193;0.111796643;75.9972973;108.8235294;8.080477563;;0.002794916;0.111796643;;;;;0
100;KDEDirect;KDE2306XF-2550;2550;12;1.2;0.044;29;34;2;7.4;;;0.003744822;0.127323954;76.96788553;168.1818182;14.20627262;;0.004493787;0.127323954;;;;;0
101;KDEDirect;KDE2315XF-2050;2050;12;1.3;0.034;64;44;2;7.4;;;0.004658193;0.204960512;77.42653563;217.6470588;16.8208554;;0.006055651;0.204960512;;;;;0
102;KDEDirect;KDE2315XF-965;965;12;0.5;0.102;64;26;3;11.1;;;0.009895644;0.257286747;74.64449064;108.8235294;7.376433061;;0.004947822;0.257286747;;;;;0
103;KDEDirect;KDE2315XF-885;885;12;0.5;0.127;64;24;3;11.1;;;0.010790166;0.258963975;71.02927928;87.4015748;6.610657108;;0.005395083;0.258963975;;;;;0
104;KDEDirect;KDE2814XF-775;775;12;0.5;0.069;95;36;3;11.1;;;0.012321673;0.443580228;76.54354354;160.8695652;8.968544063;;0.006160837;0.443580228;;;;;0
105;KDEDirect;KDE2814XF-515;515;12;0.3;0.13;95;24;4;14.8;;;0.018542323;0.445015763;77.93243243;113.8461538;5.844129204;;0.005562697;0.445015763;;;;;0
106;KDEDirect;KDE3510XF-715;715;12;0.5;0.054;120;45;3;11.1;;;0.01335566;0.60100468;77.24024024;205.5555556;10.13793755;;0.00667783;0.60100468;;;;;0
107;KDEDirect;KDE3510XF-475;475;12;0.2;0.105;120;30;4;14.8;;;0.020103782;0.603113469;78.19144144;140.952381;5.309470425;;0.004020756;0.603113469;;;;;0
108;KDEDirect;KDE4012XF-400;400;18;0.5;0.08;145;32;4;14.8;;;0.023873241;0.763943727;81.41047297;185;9.617692031;;0.011936621;0.763943727;;;;;0
109;KDEDirect;KDE4014XF-380;380;18;0.5;0.075;160;36;4;14.8;;;0.025129728;0.904670203;80.62124625;197.3333333;9.933109617;;0.012564864;0.904670203;;;;;0
110;KDEDirect;KDE4213XF-360;360;24;0.4;0.081;175;38;4;14.8;;;0.026525824;1.007981306;78.36899004;182.7160494;8.549059583;;0.01061033;1.007981306;;;;;0
111;KDEDirect;KDE3520XF-400;400;12;0.3;0.078;190;45;4;14.8;;;0.023873241;1.074295866;75.77522523;189.7435897;7.54473836;;0.007161972;1.074295866;;;;;0
112;KDEDirect;KDE4215XF-465;465;24;0.7;0.052;195;62;4;14.8;;;0.020536122;1.273239545;77.3331299;284.6153846;14.11491301;;0.014375285;1.273239545;;;;;0
113;KDEDirect;KDE5215XF-435;435;24;1.4;0.031;305;72;4;14.8;;;0.021952406;1.580573228;83.26771772;477.4193548;25.85318349;;0.030733368;1.580573228;;;;;0
114;KDEDirect;KDE5215XF-330;330;24;0.7;0.044;305;62;4;14.8;;;0.028937262;1.794110268;80.64664342;336.3636364;15.34452819;;0.020256084;1.794110268;;;;;0
115;KDEDirect;KDE5215XF-220;220;24;0.5;0.078;305;44;6;22.2;;;0.043405894;1.909859317;83.57985258;284.6153846;11.92927878;;0.021702947;1.909859317;;;;;0
116;KDEDirect;KDE6213XF-185;185;24;0.6;0.072;360;62;6;22.2;;;0.051617819;3.200304802;79.11874455;308.3333333;13.60147051;;0.030970692;3.200304802;;;;;0
117;maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;12200;2;0.0234;0.0231;1.2;0.468;0.810810811;3;;;0.000784;0.000215;94.657658;129.8701299;1.743261609;;1.83E-05;0.000366317;;;;;0
118;maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;6240;2;0.0121;0.0881;1.2;0.263;1.621621622;6;;;0.00153;0.000222;95.03083471;68.10442679;0.907779469;;1.85E-05;0.000402478;;;;;0
119;maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;14200;2;0.0776;0.00946;1.8;1.15;0.810810811;3;;;0.000671;0.000319;92.91401045;317.1247357;4.960733766;;5.21E-05;0.000773359;;;;;0
120;maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;5360;2;0.0248;0.0668;1.8;0.358;1.621621622;6;;;0.00178;0.000341;92.70166303;89.82035928;1.492496201;;4.41E-05;0.000637807;;;;;0
123;maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;25800;2;0.209;0.005;3;3.92;0.810810811;3;;;0.00037;0.000394;94.04986735;600;11.19821414;;7.73E-05;0.001450901;;;;;0
124;maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;10800;2;0.0783;0.03;3;1.72;1.621621622;6;;;0.000882;0.000398;94.62682442;200;3.957271787;;6.91E-05;0.001520814;;;;;0
125;maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;5460;2;0.0398;0.118;3;0.97;3.243243243;12;;;0.00175;0.00041;94.98221055;101.6949153;2.011829423;;6.97E-05;0.001696487;;;;;0
126;maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;6200;2;0.0692;0.039;6;1.98;1.621621622;6;;;0.00154;0.000977;95.26303051;153.8461538;3.262844441;;0.000106568;0.003049614;;;;;0
127;maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;3770;2;0.046;0.106;6;1.54;3.243243243;12;;;0.00253;0.000942;95.69328701;113.2075472;2.282005077;;0.00011638;0.003900774;;;;;0
128;maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;1830;2;0.0221;0.447;6;0.755;6.486486486;24;;;0.00521;0.000944;95.70782143;53.69127517;1.089301235;;0.000115141;0.003939737;;;;;0
