;TYPE;Model;BETA;J;V;Pe;Ct;Cp;PWR_Hp;Torque_In-Lbf;Thrust_Lbf;DIAMETER_IN;Ct*;Cp*;Dominated
2287;APC MR;APC MR;0.5625;0.2;7.5;0.3869;0.1102;0.0562;0.019;0.233;0.359;8;0.111681043;0.058074763;0
2288;APC MR;APC MR;0.5625;0.23;8.5;0.4304;0.1077;0.0565;0.019;0.234;0.351;8;0.108129051;0.057858406;0
2289;APC MR;APC MR;0.5625;0.25;9.6;0.4711;0.105;0.0565;0.019;0.235;0.342;8;0.105645381;0.057590669;0
2290;APC MR;APC MR;0.5625;0.28;10.7;0.5089;0.1018;0.0564;0.019;0.234;0.332;8;0.101748889;0.057003813;0
2291;APC MR;APC MR;0.5625;0.31;11.7;0.5437;0.0984;0.0561;0.018;0.233;0.321;8;0.097650242;0.056194656;0
2292;APC MR;APC MR;0.5625;0.34;12.8;0.5756;0.0946;0.0556;0.018;0.231;0.308;8;0.093352849;0.0551632;0
2293;APC MR;APC MR;0.5625;0.37;13.9;0.6044;0.0905;0.0549;0.018;0.228;0.295;8;0.088860118;0.053909444;0
2294;APC MR;APC MR;0.5625;0.39;15;0.6304;0.086;0.0539;0.018;0.224;0.281;8;0.085758127;0.052950106;0
2295;APC MR;APC MR;0.5625;0.42;16;0.6534;0.0814;0.0527;0.017;0.219;0.266;8;0.080947407;0.05132585;0
2296;APC MR;APC MR;0.5625;0.45;17.1;0.6735;0.0767;0.0514;0.017;0.213;0.25;8;0.075950438;0.049479294;0
2297;APC MR;APC MR;0.5625;0.48;18.2;0.6909;0.0719;0.0499;0.016;0.207;0.234;8;0.07077063;0.047410438;0
2298;APC MR;APC MR;0.5625;0.51;19.2;0.7058;0.0669;0.0481;0.016;0.2;0.218;8;0.065411389;0.045119281;0
2299;APC MR;APC MR;0.5625;0.54;20.3;0.7183;0.0617;0.046;0.015;0.191;0.201;8;0.059876126;0.042605825;0
2300;APC MR;APC MR;0.5625;0.56;21.4;0.7284;0.0564;0.0436;0.014;0.181;0.184;8;0.056089843;0.040806688;0
2301;APC MR;APC MR;0.5625;0.59;22.4;0.7359;0.0508;0.0409;0.013;0.17;0.166;8;0.050268782;0.037922731;0
2302;APC MR;APC MR;0.5625;0.62;23.5;0.741;0.0451;0.0378;0.012;0.157;0.147;8;0.044280786;0.034816475;0
2303;APC MR;APC MR;0.5625;0.65;24.6;0.7426;0.0392;0.0342;0.011;0.142;0.128;8;0.038129266;0.031487919;0
2304;APC MR;APC MR;0.5625;0.68;25.6;0.7388;0.033;0.0302;0.01;0.126;0.108;8;0.031817628;0.027937063;0
2305;APC MR;APC MR;0.5625;0.7;26.7;0.7259;0.0266;0.0259;0.009;0.107;0.087;8;0.027522599;0.025446325;0
2306;APC MR;APC MR;0.5625;0.73;27.8;0.6964;0.0201;0.0212;0.007;0.088;0.066;8;0.020951675;0.021524969;0
2307;APC MR;APC MR;0.5625;0.76;28.8;0.6286;0.0135;0.0164;0.005;0.068;0.044;8;0.014229722;0.017381313;0
2308;APC MR;APC MR;0.5625;0.79;29.9;0.4632;0.0068;0.0115;0.004;0.048;0.022;8;0.00736015;0.013015356;0
2309;APC MR;APC MR;0.5625;0.82;31;0.0074;0.0001;0.0069;0.002;0.028;0;8;0.000346368;0.0084271;0
2310;APC MR;APC MR;0.5625;0;0;0;0.1205;0.0519;0.03;0.311;0.566;8;0.129797998;0.053836138;0
2311;APC MR;APC MR;0.5625;0.03;1.3;0.0631;0.1196;0.0527;0.03;0.315;0.562;8;0.127718682;0.055101781;0
2312;APC MR;APC MR;0.5625;0.06;2.5;0.1233;0.1185;0.0534;0.03;0.319;0.557;8;0.125408808;0.056145125;0
2313;APC MR;APC MR;0.5625;0.08;3.8;0.1808;0.1173;0.0541;0.031;0.324;0.551;8;0.123742487;0.056717188;0
2314;APC MR;APC MR;0.5625;0.11;5.1;0.2353;0.116;0.0548;0.031;0.327;0.545;8;0.121055922;0.057390031;0
2315;APC MR;APC MR;0.5625;0.14;6.3;0.2871;0.1144;0.0553;0.032;0.331;0.537;8;0.118147887;0.057840575;0
2316;APC MR;APC MR;0.5625;0.17;7.6;0.336;0.1126;0.0559;0.032;0.334;0.529;8;0.115021791;0.058068819;0
2317;APC MR;APC MR;0.5625;0.19;8.8;0.3821;0.1105;0.0563;0.032;0.337;0.519;8;0.112818266;0.058097481;0
2318;APC MR;APC MR;0.5625;0.22;10.1;0.4254;0.1082;0.0565;0.032;0.338;0.508;8;0.109336309;0.057955225;0
2319;APC MR;APC MR;0.5625;0.25;11.4;0.4659;0.1054;0.0566;0.032;0.338;0.495;8;0.105645381;0.057590669;0
2320;APC MR;APC MR;0.5625;0.28;12.6;0.5036;0.1024;0.0565;0.032;0.338;0.481;8;0.101748889;0.057003813;0
2321;APC MR;APC MR;0.5625;0.31;13.9;0.5385;0.0989;0.0561;0.032;0.336;0.465;8;0.097650242;0.056194656;0
2322;APC MR;APC MR;0.5625;0.33;15.2;0.5704;0.0952;0.0556;0.032;0.333;0.447;8;0.094807186;0.055531719;0
2323;APC MR;APC MR;0.5625;0.36;16.4;0.5995;0.0911;0.0549;0.031;0.328;0.428;8;0.090379189;0.054352063;0
2324;APC MR;APC MR;0.5625;0.39;17.7;0.6256;0.0868;0.054;0.031;0.323;0.408;8;0.085758127;0.052950106;0
2325;APC MR;APC MR;0.5625;0.42;18.9;0.6489;0.0822;0.0528;0.03;0.316;0.386;8;0.080947407;0.05132585;0
2326;APC MR;APC MR;0.5625;0.44;20.2;0.6692;0.0776;0.0515;0.029;0.308;0.364;8;0.077636578;0.050119513;0
2327;APC MR;APC MR;0.5625;0.47;21.5;0.6869;0.0728;0.05;0.028;0.299;0.342;8;0.072517338;0.048124756;0
2328;APC MR;APC MR;0.5625;0.5;22.7;0.7021;0.0678;0.0483;0.027;0.289;0.318;8;0.067217529;0.0459077;0
2329;APC MR;APC MR;0.5625;0.53;24;0.7149;0.0627;0.0463;0.026;0.277;0.294;8;0.061740561;0.043468344;0
2330;APC MR;APC MR;0.5625;0.56;25.3;0.7252;0.0574;0.044;0.025;0.263;0.27;8;0.056089843;0.040806688;0
2331;APC MR;APC MR;0.5625;0.58;26.5;0.7331;0.0519;0.0413;0.024;0.247;0.244;8;0.052227852;0.03890875;0
2332;APC MR;APC MR;0.5625;0.61;27.8;0.7386;0.0462;0.0382;0.022;0.229;0.217;8;0.046295123;0.035876594;0
2333;APC MR;APC MR;0.5625;0.64;29;0.7409;0.0402;0.0347;0.02;0.208;0.189;8;0.040197732;0.032622138;0
2334;APC MR;APC MR;0.5625;0.67;30.3;0.7381;0.0341;0.0308;0.018;0.184;0.16;8;0.033939088;0.029145381;0
2335;APC MR;APC MR;0.5625;0.69;31.6;0.7269;0.0276;0.0263;0.015;0.157;0.129;8;0.029678757;0.026704044;0
2336;APC MR;APC MR;0.5625;0.72;32.8;0.6993;0.0208;0.0215;0.012;0.129;0.098;8;0.023158932;0.022856788;0
2337;APC MR;APC MR;0.5625;0.75;34.1;0.6364;0.014;0.0165;0.009;0.099;0.066;8;0.016486943;0.018787231;0
2338;APC MR;APC MR;0.5625;0.78;35.4;0.478;0.007;0.0114;0.007;0.068;0.033;8;0.009666199;0.014495375;0
2339;APC MR;APC MR;0.5625;0.81;36.6;0.0021;0;0.0066;0.004;0.039;0;8;0.002700108;0.009981219;0
2340;APC MR;APC MR;0.5625;0;0;0;0.1207;0.0522;0.047;0.425;0.772;8;0.129797998;0.053836138;0
2341;APC MR;APC MR;0.5625;0.03;1.5;0.0625;0.1198;0.0529;0.048;0.431;0.766;8;0.127718682;0.055101781;0
2342;APC MR;APC MR;0.5625;0.06;2.9;0.1223;0.1188;0.0536;0.048;0.436;0.759;8;0.125408808;0.056145125;0
2343;APC MR;APC MR;0.5625;0.08;4.4;0.1793;0.1176;0.0543;0.049;0.442;0.752;8;0.123742487;0.056717188;0
2344;APC MR;APC MR;0.5625;0.11;5.9;0.2336;0.1162;0.0549;0.05;0.447;0.743;8;0.121055922;0.057390031;0
2345;APC MR;APC MR;0.5625;0.14;7.3;0.2851;0.1147;0.0555;0.05;0.452;0.733;8;0.118147887;0.057840575;0
2346;APC MR;APC MR;0.5625;0.17;8.8;0.3338;0.1129;0.056;0.051;0.456;0.722;8;0.115021791;0.058068819;0
2347;APC MR;APC MR;0.5625;0.19;10.2;0.3797;0.1109;0.0564;0.051;0.459;0.709;8;0.112818266;0.058097481;0
2348;APC MR;APC MR;0.5625;0.22;11.7;0.4229;0.1085;0.0567;0.051;0.461;0.694;8;0.109336309;0.057955225;0
2349;APC MR;APC MR;0.5625;0.25;13.2;0.4634;0.1058;0.0567;0.051;0.462;0.677;8;0.105645381;0.057590669;0
2350;APC MR;APC MR;0.5625;0.28;14.6;0.5012;0.1027;0.0566;0.051;0.461;0.657;8;0.101748889;0.057003813;0
2351;APC MR;APC MR;0.5625;0.3;16.1;0.5361;0.0993;0.0562;0.051;0.458;0.635;8;0.099038709;0.056489075;0
2352;APC MR;APC MR;0.5625;0.33;17.6;0.5681;0.0956;0.0557;0.05;0.454;0.611;8;0.094807186;0.055531719;0
2353;APC MR;APC MR;0.5625;0.36;19;0.5972;0.0915;0.055;0.05;0.448;0.585;8;0.090379189;0.054352063;0
2354;APC MR;APC MR;0.5625;0.39;20.5;0.6235;0.0872;0.054;0.049;0.44;0.557;8;0.085758127;0.052950106;0
2355;APC MR;APC MR;0.5625;0.41;22;0.6468;0.0826;0.0529;0.048;0.43;0.528;8;0.082571843;0.051891969;0
2356;APC MR;APC MR;0.5625;0.44;23.4;0.6673;0.0779;0.0516;0.047;0.42;0.498;8;0.077636578;0.050119513;0
2357;APC MR;APC MR;0.5625;0.47;24.9;0.6851;0.0731;0.0501;0.045;0.408;0.468;8;0.072517338;0.048124756;0
2358;APC MR;APC MR;0.5625;0.5;26.3;0.7004;0.0681;0.0483;0.044;0.393;0.436;8;0.067217529;0.0459077;0
2359;APC MR;APC MR;0.5625;0.52;27.8;0.7132;0.063;0.0463;0.042;0.377;0.403;8;0.063585691;0.044306163;0
2360;APC MR;APC MR;0.5625;0.55;29.3;0.7237;0.0577;0.044;0.04;0.358;0.369;8;0.057992511;0.041718606;0
2361;APC MR;APC MR;0.5625;0.58;30.7;0.7316;0.0522;0.0413;0.037;0.337;0.334;8;0.052227852;0.03890875;0
2362;APC MR;APC MR;0.5625;0.61;32.2;0.7372;0.0464;0.0382;0.035;0.311;0.297;8;0.046295123;0.035876594;0
2363;APC MR;APC MR;0.5625;0.63;33.7;0.7395;0.0405;0.0347;0.031;0.283;0.259;8;0.042248281;0.033731656;0
2364;APC MR;APC MR;0.5625;0.66;35.1;0.7367;0.0342;0.0307;0.028;0.25;0.218;8;0.036043009;0.030329;0
2365;APC MR;APC MR;0.5625;0.69;36.6;0.7258;0.0276;0.0263;0.024;0.214;0.177;8;0.029678757;0.026704044;0
2366;APC MR;APC MR;0.5625;0.72;38.1;0.6985;0.0209;0.0215;0.019;0.175;0.134;8;0.023158932;0.022856788;0
2367;APC MR;APC MR;0.5625;0.75;39.5;0.6359;0.014;0.0165;0.015;0.134;0.09;8;0.016486943;0.018787231;0
2368;APC MR;APC MR;0.5625;0.77;41;0.477;0.0071;0.0114;0.01;0.093;0.045;8;0.011956099;0.015950694;0
2369;APC MR;APC MR;0.5625;0.8;42.4;0.0008;0;0.0069;0.006;0.056;0;8;0.005038078;0.011510638;0
2370;APC MR;APC MR;0.5625;0;0;0;0.1207;0.052;0.07;0.552;1.008;8;0.129797998;0.053836138;0
2371;APC MR;APC MR;0.5625;0.03;1.7;0.0628;0.1198;0.0527;0.071;0.56;1.001;8;0.127718682;0.055101781;0
2372;APC MR;APC MR;0.5625;0.06;3.3;0.1229;0.1188;0.0534;0.072;0.567;0.992;8;0.125408808;0.056145125;0
2373;APC MR;APC MR;0.5625;0.08;5;0.1802;0.1176;0.054;0.073;0.575;0.982;8;0.123742487;0.056717188;0
2374;APC MR;APC MR;0.5625;0.11;6.7;0.2348;0.1163;0.0547;0.074;0.581;0.971;8;0.121055922;0.057390031;0
2375;APC MR;APC MR;0.5625;0.14;8.4;0.2866;0.1147;0.0552;0.075;0.587;0.958;8;0.118147887;0.057840575;0
2376;APC MR;APC MR;0.5625;0.17;10;0.3355;0.113;0.0558;0.075;0.593;0.944;8;0.115021791;0.058068819;0
2377;APC MR;APC MR;0.5625;0.19;11.7;0.3816;0.111;0.0562;0.076;0.597;0.927;8;0.112818266;0.058097481;0
2378;APC MR;APC MR;0.5625;0.22;13.4;0.425;0.1087;0.0564;0.076;0.6;0.907;8;0.109336309;0.057955225;0
2379;APC MR;APC MR;0.5625;0.25;15.1;0.4657;0.106;0.0565;0.076;0.601;0.885;8;0.105645381;0.057590669;0
2380;APC MR;APC MR;0.5625;0.28;16.7;0.5036;0.1029;0.0564;0.076;0.599;0.859;8;0.101748889;0.057003813;0
2381;APC MR;APC MR;0.5625;0.3;18.4;0.5388;0.0994;0.056;0.076;0.596;0.83;8;0.099038709;0.056489075;0
2382;APC MR;APC MR;0.5625;0.33;20.1;0.5711;0.0957;0.0555;0.075;0.59;0.799;8;0.094807186;0.055531719;0
2383;APC MR;APC MR;0.5625;0.36;21.7;0.6007;0.0916;0.0547;0.074;0.582;0.765;8;0.090379189;0.054352063;0
2384;APC MR;APC MR;0.5625;0.39;23.4;0.6274;0.0872;0.0537;0.072;0.571;0.728;8;0.085758127;0.052950106;0
2385;APC MR;APC MR;0.5625;0.41;25.1;0.6513;0.0826;0.0525;0.071;0.558;0.69;8;0.082571843;0.051891969;0
2386;APC MR;APC MR;0.5625;0.44;26.8;0.6724;0.0779;0.0511;0.069;0.544;0.651;8;0.077636578;0.050119513;0
2387;APC MR;APC MR;0.5625;0.47;28.4;0.6909;0.073;0.0496;0.067;0.527;0.61;8;0.072517338;0.048124756;0
2388;APC MR;APC MR;0.5625;0.5;30.1;0.7069;0.068;0.0478;0.064;0.508;0.568;8;0.067217529;0.0459077;0
2389;APC MR;APC MR;0.5625;0.52;31.8;0.7204;0.0628;0.0457;0.062;0.486;0.524;8;0.063585691;0.044306163;0
2390;APC MR;APC MR;0.5625;0.55;33.4;0.7314;0.0574;0.0433;0.058;0.461;0.479;8;0.057992511;0.041718606;0
2391;APC MR;APC MR;0.5625;0.58;35.1;0.7399;0.0518;0.0405;0.055;0.431;0.432;8;0.052227852;0.03890875;0
2392;APC MR;APC MR;0.5625;0.61;36.8;0.7457;0.0458;0.0373;0.05;0.397;0.383;8;0.046295123;0.035876594;0
2393;APC MR;APC MR;0.5625;0.63;38.5;0.7478;0.0397;0.0337;0.045;0.358;0.332;8;0.042248281;0.033731656;0
2394;APC MR;APC MR;0.5625;0.66;40.1;0.7443;0.0333;0.0296;0.04;0.315;0.278;8;0.036043009;0.030329;0
2395;APC MR;APC MR;0.5625;0.69;41.8;0.7322;0.0267;0.0252;0.034;0.268;0.223;8;0.029678757;0.026704044;0
2396;APC MR;APC MR;0.5625;0.72;43.5;0.7028;0.0202;0.0206;0.028;0.219;0.168;8;0.023158932;0.022856788;0
2397;APC MR;APC MR;0.5625;0.75;45.2;0.6373;0.0135;0.0158;0.021;0.168;0.113;8;0.016486943;0.018787231;0
2398;APC MR;APC MR;0.5625;0.77;46.8;0.4722;0.0068;0.0111;0.015;0.118;0.057;8;0.011956099;0.015950694;0
2399;APC MR;APC MR;0.5625;0.8;48.5;0.0001;0;0.007;0.009;0.074;0;8;0.005038078;0.011510638;0
2400;APC MR;APC MR;0.5625;0;0;0;0.1209;0.0512;0.098;0.689;1.278;8;0.129797998;0.053836138;0
2401;APC MR;APC MR;0.5625;0.03;1.9;0.064;0.12;0.052;0.1;0.699;1.268;8;0.127718682;0.055101781;0
2402;APC MR;APC MR;0.5625;0.06;3.8;0.125;0.119;0.0527;0.101;0.71;1.257;8;0.125408808;0.056145125;0
2403;APC MR;APC MR;0.5625;0.08;5.7;0.1831;0.1178;0.0535;0.103;0.72;1.245;8;0.123742487;0.056717188;0
2404;APC MR;APC MR;0.5625;0.11;7.6;0.2383;0.1165;0.0542;0.104;0.729;1.231;8;0.121055922;0.057390031;0
2405;APC MR;APC MR;0.5625;0.14;9.4;0.2906;0.1149;0.0548;0.105;0.737;1.215;8;0.118147887;0.057840575;0
2406;APC MR;APC MR;0.5625;0.17;11.3;0.34;0.1132;0.0553;0.106;0.745;1.196;8;0.115021791;0.058068819;0
2407;APC MR;APC MR;0.5625;0.19;13.2;0.3864;0.1112;0.0558;0.107;0.751;1.175;8;0.112818266;0.058097481;0
2408;APC MR;APC MR;0.5625;0.22;15.1;0.4301;0.1088;0.0561;0.108;0.755;1.15;8;0.109336309;0.057955225;0
2409;APC MR;APC MR;0.5625;0.25;17;0.471;0.1061;0.0562;0.108;0.756;1.121;8;0.105645381;0.057590669;0
2410;APC MR;APC MR;0.5625;0.28;18.9;0.5093;0.103;0.056;0.108;0.754;1.088;8;0.101748889;0.057003813;0
2411;APC MR;APC MR;0.5625;0.3;20.8;0.5448;0.0995;0.0556;0.107;0.749;1.051;8;0.099038709;0.056489075;0
2412;APC MR;APC MR;0.5625;0.33;22.7;0.5776;0.0956;0.0551;0.106;0.741;1.011;8;0.094807186;0.055531719;0
2413;APC MR;APC MR;0.5625;0.36;24.6;0.6075;0.0915;0.0543;0.104;0.73;0.967;8;0.090379189;0.054352063;0
2414;APC MR;APC MR;0.5625;0.39;26.4;0.6348;0.0871;0.0532;0.102;0.716;0.92;8;0.085758127;0.052950106;0
2415;APC MR;APC MR;0.5625;0.42;28.3;0.6594;0.0824;0.0519;0.1;0.699;0.871;8;0.080947407;0.05132585;0
2416;APC MR;APC MR;0.5625;0.44;30.2;0.6812;0.0776;0.0505;0.097;0.679;0.82;8;0.077636578;0.050119513;0
2417;APC MR;APC MR;0.5625;0.47;32.1;0.7004;0.0726;0.0488;0.094;0.657;0.768;8;0.072517338;0.048124756;0
2418;APC MR;APC MR;0.5625;0.5;34;0.7172;0.0674;0.0469;0.09;0.631;0.713;8;0.067217529;0.0459077;0
2419;APC MR;APC MR;0.5625;0.53;35.9;0.7313;0.0621;0.0447;0.086;0.602;0.657;8;0.061740561;0.043468344;0
2420;APC MR;APC MR;0.5625;0.55;37.8;0.7428;0.0567;0.0423;0.081;0.569;0.599;8;0.057992511;0.041718606;0
2421;APC MR;APC MR;0.5625;0.58;39.7;0.7517;0.0509;0.0394;0.076;0.53;0.538;8;0.052227852;0.03890875;0
